Movie Name,Actor Name
21 Jump Street,Rob Riggle
Biutiful,Javier Bardem
Biutiful,Maricel Alvarez
Biutiful,Eduard Fernandez
Biutiful,Diaryatou Daff
Biutiful,Tai Shen Cheng
Halloween:  The Curse of Michael Myers,Donald Pleasance
Halloween:  The Curse of Michael Myers,Paul Rudd
Halloween:  The Curse of Michael Myers,Tom Proctor
X-Men,Patrick Stewart
X-Men,Hugh Jackman
X-Men,Ian McKellen
X-Men,Halle Berry
X-Men,Famke Janssen
Star Trek: Generations,Brent Spiner
Star Trek: Generations,William Shatner
Star Trek: Generations,Patrick Stewart
Star Trek: Generations,Jonathan Frakes
Star Trek: Generations,Whoopi Goldberg
The Cold Light of Day,Henry Cavill
The Cold Light of Day,Veronica Echegui
The Cold Light of Day,Bruce Willis
The Cold Light of Day,Sigourney Weaver
The Cold Light of Day,Joseph Mawle
The Gatekeepers,Ami Ayalon
The Gatekeepers,Avraham Shalom
The Gatekeepers,Yuval Diskin
The Gatekeepers,Carmi Gillon
The Gatekeepers,Yaakov Peri
Miracle at St. Anna,Derek Luke
Miracle at St. Anna,Michael Ealy
Miracle at St. Anna,Laz Alonso
Miracle at St. Anna,Omar Benson Miller
Miracle at St. Anna,Pierfrancesco Favino
Kevin Hart: Let Me Explain,Kevin Hart
Rules of Engagement,Tommy Lee Jones
Rules of Engagement,Samuel L. Jackson
Rules of Engagement,Guy Pearce
Rules of Engagement,Bruce Greenwood
Rules of Engagement,Blair Underwood
Gake no ue no Ponyo,Noah Cyrus
Gake no ue no Ponyo,Betty White
Gake no ue no Ponyo,Lily Tomlin
Gake no ue no Ponyo,Liam Neeson
Gake no ue no Ponyo,Cloris Leachman
Undisputed,Wesley Snipes
Undisputed,Ving Rhames
Undisputed,Peter Falk
Undisputed,Jon Seda
Undisputed,Fisher Stevens
Firestorm,Suzy Amis
Firestorm,Scott Glenn
Firestorm,Howie Long
Firestorm,Barry Pepper
Firestorm,William Forsythe
Orphan,Vera Farmiga
Orphan,Peter Sarsgaard
The Host,Saoirse Ronan
The Host,Jake Abel
