Name,RTC Mean,RTA Mean,IMDB Mean
Andrew Haigh,95.0,85.999999999999972,7.7000000000000002
Mardik Martin,66.999999999999972,59.999999999999986,6.7000000000000011
Scott Rothman,62.000000000000007,68.000000000000014,6.8000000000000007
Steve Lopez,56.000000000000021,57.000000000000007,6.7000000000000011
Don D. Scott,68.000000000000014,48.000000000000007,5.5999999999999996
Dick Beebe,27.0,42.000000000000007,5.5999999999999996
Jenny Downham,57.999999999999986,64.999999999999986,7.3000000000000007
James Jeremias,74.999999999999972,85.999999999999972,7.2000000000000002
Scott Lobdell,9.0000000000000018,46.999999999999993,5.4000000000000004
George Durham,2.0,29.000000000000004,5.0999999999999996
Marianne Wibberley,27.100476709931353,44.703460263020887,5.4162294618624438
Alan Trustman,69.000000000000014,77.000000000000014,6.8000000000000007
Michael Berg,50.423732209533618,68.785724683792836,7.1238633664435982
Neil Cuthbert,17.320508075688771,30.199337741082992,4.7116875957558984
Seth Lochhead,72.0,65.999999999999972,6.8000000000000007
Reid Carolin,79.999999999999972,61.000000000000007,6.0999999999999996
John Erick Dowdle,40.298883359219751,43.999999999999993,6.0991802727907638
Martin Stellman,56.000000000000021,55.000000000000014,6.4000000000000004
Patrick Wilde,78.0,83.999999999999986,7.7000000000000002
Kevin Smith,59.15521992813737,71.420233888993181,6.9172717928102845
George Nolfi,50.746143348689529,54.679123342836796,6.5201269625370166
Ivan Raimi,74.030180044261343,65.036980928564489,6.7751108581507244
H.A.L. Craig,79.999999999999972,94.0,8.3000000000000007
Mark Skeet,51.0,49.999999999999993,6.2000000000000011
Steve Faber,59.371710435189598,70.992957397195411,7.0498226928058267
Abby Kohn,34.058772731852805,61.481704595757577,6.596969000988258
Matthew Stone,54.848065524326138,59.68613882662887,6.4654577870394894
Cliff Hollingsworth,79.999999999999972,90.999999999999972,7.9999999999999982
Kirk Jones,46.0,54.000000000000007,7.2000000000000002
John Carlen,23.0,42.000000000000007,5.7000000000000011
Bennett Davlin,17.999999999999996,27.0,4.9999999999999991
Duncan Brantley,52.000000000000007,37.999999999999993,6.0
Jerry Seinfeld,51.0,53.000000000000007,6.2000000000000011
John Heffernan,68.000000000000014,49.999999999999993,5.5999999999999996
Chad Hayes,25.813257613480658,55.261127410776808,6.0963608141984658
Álvaro Rodríguez,56.9209978830308,45.254833995939023,5.729746940310716
Wesley Strick,28.980168764415964,38.51199940808749,5.6853424574155609
Stephen White,26.000000000000004,40.0,2.7999999999999998
Jeffrey Jurgensen,13.0,31.0,4.4000000000000004
Catherine Hardwicke,81.000000000000028,77.000000000000014,6.9000000000000004
Anne Rice,17.0,66.999999999999972,5.2000000000000002
Thomas Keneally,97.0,97.0,8.9000000000000004
Leon Uris,72.0,36.999999999999993,6.2999999999999989
Jay Duplass,77.982902235313716,54.030161476769962,6.260064849774083
Fran Walsh,73.781093980660629,71.9752521014845,7.94934526142523
Jimmy Hayward,17.999999999999996,44.999999999999993,5.9000000000000004
Ted Lewis,12.0,27.999999999999996,4.9999999999999991
Will Forte,26.5518360947035,32.465366161495858,5.3497663500381032
Gus Van Sant,81.000000000000028,81.000000000000028,7.1000000000000005
Raymond Chandler,98.000000000000043,93.000000000000028,8.1000000000000014
Gary David Goldberg,34.999999999999993,51.0,5.9000000000000004
Ann Biderman,62.449979983983965,60.926184846911248,6.4498061986388393
David Wagner,18.165902124584957,49.497474683058343,5.1497572758334922
Melvin Frank,32.649655434629025,47.031904065219372,5.8566201857385298
Anna Quindlen,88.999999999999986,71.0,6.9999999999999991
Yuet-Jan Hui,22.000000000000004,43.999999999999993,5.4000000000000004
Vince McKewin,40.0,66.999999999999972,6.4999999999999991
Zoe Heller,87.0,83.000000000000028,7.4999999999999991
Joe Grant,95.999999999999986,83.000000000000028,7.8000000000000016
Michael McQuown,6.0,59.000000000000014,5.4000000000000004
Seth MacFarlane,47.370877129308063,56.409219104681839,6.6347569661593493
Jerzy Kromolowski,78.0,59.000000000000014,6.8000000000000007
Hans Fabian Wullenweber,12.0,48.000000000000007,5.2000000000000002
Marc Hyman,55.000000000000014,41.000000000000007,6.2000000000000011
