Name,RTC Mean,RTA Mean,IMDB Mean
Charles Dance,46.733285782191679,56.709787515031309,6.2801273872430325
Amie Petersen,0.0,69.000000000000014,4.0999999999999996
Jack Guzman,40.0,82.000000000000014,6.9000000000000004
Vanessa Lengies,31.0,72.999999999999986,6.4000000000000004
Katharine Towne,46.0,59.000000000000014,6.5999999999999988
Bruce Dern,68.529943372367882,64.118836012209684,6.8974630050110797
Goya Toledo,92.000000000000014,94.0,8.1000000000000014
Val Kilmer,35.882244383869597,50.059027034345348,6.0778489121183403
Owen Kline,93.000000000000028,81.000000000000028,7.4000000000000012
Wes Bentley,19.620962788806114,48.741280449858117,5.6724516423012554
Jackson Nicoll,59.999999999999986,62.000000000000007,6.5999999999999988
Jason Spevack,64.999999999999986,59.999999999999986,6.2000000000000011
Liam Cunningham,88.000000000000028,87.0,7.4999999999999991
LisaRaye McCoy-Misick,22.271057451320083,83.946411477799316,5.347896782848375
Jean Simmons,95.999999999999986,86.498554901223628,7.9498427657407165
Ken Bevel,34.641016151377549,84.486685341537694,6.6970142601012874
Laura Jordan,4.9999999999999991,51.0,5.0999999999999996
Carrie-Anne Moss,47.42556684162021,61.788388897276569,6.9637462876177567
Alex Briley,7.9999999999999982,38.999999999999993,4.5
Jennifer Decker,33.0,66.999999999999972,6.5999999999999988
Stephen Dorff,14.860357418925997,36.923227910924595,5.1019148062407362
Navi Rawat,56.000000000000021,59.999999999999986,6.4000000000000004
Fred MacMurray,93.000000000000028,94.0,8.4000000000000004
Gillian Anderson,83.946411477799316,80.049984384757963,7.3939164182454746
Emmanuelle Riva,93.000000000000028,82.000000000000014,7.8000000000000016
David Hodo,7.9999999999999982,38.999999999999993,4.5
Helen Mirren,47.81095181615958,50.028442609204014,6.4311328476027247
Rosie O'Donnell,32.496153618543843,34.985711369071801,5.3216538782600287
Christine Taylor,66.932802122726045,78.460180983732101,6.6498120274185188
Monet Mazur,23.0,41.000000000000007,3.8999999999999995
Stephanie Chapman-Baker,92.000000000000014,74.999999999999972,4.5999999999999996
Gert Fröbe,95.999999999999986,88.999999999999986,7.8000000000000016
Victoria Clark,59.999999999999986,59.999999999999986,6.9999999999999991
John Taylor,66.999999999999972,49.999999999999993,6.0
David Oyelowo,40.0,57.999999999999986,5.9000000000000004
Omar Sharif,63.206012372241908,75.63068160475612,7.2663608498339789
Michael Biehn,68.813005072301408,70.994153550896172,7.4003365809881538
Ellen Greene,84.852813742385678,79.993749755840312,7.0484040746824377
Donal Logue,56.000000000000021,74.999999999999972,6.7000000000000011
Amy Irving,72.999999999999986,74.999999999999972,6.5999999999999988
Annabeth Gish,30.594117081556714,29.393876913398145,4.0583247775406042
Chelcie Ross,37.999999999999993,37.999999999999993,5.7999999999999998
Kate Greenhouse,57.999999999999986,49.999999999999993,6.0999999999999996
Toby Hemingway,3.0000000000000004,62.000000000000007,5.2000000000000002
Alexander Skarsgård,37.336309405188942,43.243496620879313,5.8497863208838661
Brían F. O'Byrne,48.000000000000007,78.0,6.2999999999999989
Jean-Claude Van Damme,20.120555080130387,34.745352057906203,5.2088312024450376
Gwyneth Paltrow,58.218186621111911,56.638848155304949,6.5747887286183015
Amy Sedaris,52.000000000000007,55.000000000000014,6.0
Clint Eastwood,65.459565746749178,68.328275238263146,7.0996990026670899
Anne Heche,58.333513935021351,51.521938281647479,6.1814058961585152
Ethan Hawke,54.106282686122199,63.734441550492747,6.8777730367014573
Antonio Banderas,0.0,49.726645967289883,5.8692146328248445
Anika Noni Rose,51.84592558726289,73.498299300051883,6.5176682947201288
Brooke Shields,7.9999999999999982,31.0,3.7000000000000006
Alan Rickman,71.81223834493376,79.331242992963624,7.4557748063808207
Kathryn Morris,59.000000000000014,59.999999999999986,6.8000000000000007
Maria Conchita Alonso,61.000000000000007,61.000000000000007,6.5999999999999988
Ian Mongrain,59.000000000000014,49.999999999999993,6.4000000000000004
Steve Harris,30.46309242345562,61.870833193032084,5.7445626465380286
Colin O'Donoghue,21.0,41.000000000000007,6.0
Lola Dueñas,92.000000000000014,88.999999999999986,7.5999999999999979
Laz Alonso,22.521953880658245,53.186008343039376,5.4432736927626939
Kim Basinger,24.982232424112805,45.037916314569912,6.041126348046638
Leslie Nielsen,31.757851825278518,53.76767863498317,5.7935874627083015
Ally Sheedy,69.000000000000014,46.999999999999993,6.4999999999999991
Matt Long,36.0,70.000000000000028,6.2999999999999989
Hans Strydom,43.0,57.999999999999986,7.4999999999999991
Lou Romano,95.999999999999986,87.0,7.9999999999999982
Ashley Benson,64.999999999999986,38.999999999999993,5.2999999999999998
Alonna Shaw,13.999999999999996,42.000000000000007,5.2999999999999998
Judi Dench,58.004984823871375,64.450979509353402,6.6231960969730412
Warren Oates,94.0,92.000000000000014,7.9999999999999982
Erika Christensen,32.186953878862155,44.899888641287284,5.8146367040426528
Ed Harris,55.200009588632689,70.907763501191624,7.1269199894135209
Kari Wuhrer,48.000000000000007,32.0,5.4000000000000004
Rhona Mitra,48.497422611928563,59.999999999999986,6.5726706900619938
Elvis Presley,49.999999999999993,69.000000000000014,6.0999999999999996
Miko Hughes,17.0,41.000000000000007,6.0
Christian Slater,25.037644015403707,40.90036596548444,5.4738429767030521
Ethan Stiefel,43.0,82.000000000000014,6.5999999999999988
Eddie Barth,24.999999999999996,36.0,6.4999999999999991
Huey Lewis,19.999999999999996,48.000000000000007,6.0
Caroline Aaron,31.0,65.999999999999972,6.0
Blanchard Ryan,72.0,32.0,5.7000000000000011
Quvenzhané Wallis,85.999999999999972,76.0,7.3000000000000007
Cheech Marin,61.798058221921494,67.498148122744823,4.914264950122246
