Name,RTC Mean,RTA Mean,IMDB Mean
Andale Pictures,57.999999999999986,43.999999999999993,6.0
Blackened Recordings,78.0,74.999999999999972,7.3000000000000007
Faliro House Productions,98.000000000000043,82.000000000000014,7.9999999999999982
Pelican Productions LLC (I),0.0,34.000000000000007,5.2999999999999998
Les Films du Losange,93.000000000000028,82.000000000000014,7.8000000000000016
Ben-Ami/Leeds Productions,17.0,38.999999999999993,4.0999999999999996
Astron-6,24.999999999999996,24.999999999999996,5.7999999999999998
360 Pictures,2.0,59.000000000000014,2.0
Klasky-Csupo,49.183330509431762,43.588989435406738,5.6480084985771759
Sienna Films,64.999999999999986,49.999999999999993,3.1000000000000001
Cecchi Gori Pictures,79.0,95.0,8.6999999999999975
Epithète Films,74.000000000000028,74.000000000000028,7.2000000000000002
Silver Pictures,40.0,66.999999999999972,6.4000000000000004
Rimfire Films,88.999999999999986,57.999999999999986,6.4999999999999991
New Sky Communications Inc.,66.999999999999972,68.000000000000014,6.7000000000000011
Pin Hole Productions LLC,69.000000000000014,46.0,6.2000000000000011
Cinema Line Film Corporation,37.999999999999993,24.000000000000004,4.5999999999999996
Arthur Cohn Productions,66.999999999999972,59.000000000000014,6.9000000000000004
Alan Jay Lerner Productions,21.0,69.000000000000014,6.7000000000000011
American Desi Productions,42.000000000000007,72.999999999999986,6.7000000000000011
Artisan Entertainment,50.971647016304892,55.171069631883036,6.3800588809668879
Plan B Entertainment,48.218253804964768,49.638694583963442,6.2000000000000011
Golden Harvest Company,0.0,45.963423981067976,4.5834312559427701
"Mirisch Corporation, The",93.665477597622541,90.249513378437868,7.9933277700488432
Curmudgeon Films,48.000000000000007,72.0,7.4000000000000012
Playtone,53.000000000000007,46.0,6.4999999999999991
Cineplex-Odeon Films,79.999999999999972,81.000000000000028,7.2000000000000002
Saturn Films,81.000000000000028,74.000000000000028,6.9000000000000004
Rollins-Joffe Productions,98.9949493661167,87.326971778483184,7.7369244535538817
Hart-Sharp Entertainment,57.103127145033973,59.610439142569362,6.7600599880301582
"Weinstein Company, The",41.78221503916545,58.195815223282231,6.4682927820907183
Killer Films,92.000000000000014,93.000000000000028,7.8000000000000016
Chockstone Pictures,59.999999999999986,19.999999999999996,5.9000000000000004
Interscope Communications,64.946131524518094,51.303021353522645,5.9481089431852201
Anarchist's Convention Films,70.427267446636051,55.479726026720819,6.2161081071680222
26 Films,9.0000000000000018,43.999999999999993,5.9000000000000004
Proscenium Films,98.999999999999986,90.0,7.7000000000000002
Cannon Pictures,27.0,36.0,5.4000000000000004
The Family Stone,51.0,62.999999999999993,6.2999999999999989
"Mirisch Company, The",93.000000000000028,95.0,8.3000000000000007
Yari Film Group (YFG),64.999999999999986,57.999999999999986,5.5999999999999996
Vanguard Animation,32.465366161495858,31.464265445104548,5.0754310161798086
"Mirisch Production Company, The",81.000000000000028,93.000000000000028,7.9999999999999982
GraceWorks Pictures,34.999999999999993,82.000000000000014,6.2999999999999989
The Ultimate Gift LLC,32.0,85.000000000000014,7.4000000000000012
40 Acres & A Mule Filmworks,58.846395461286441,69.973205784240193,6.5727402697800406
Mandalay Entertainment,39.267366454430949,56.405817571685901,6.3216380778436241
Underclassman Films Ltd.,6.0,34.999999999999993,3.8999999999999995
Submarine Entertainment,48.000000000000007,24.000000000000004,4.7000000000000002
Di Bonaventura Pictures,34.641016151377549,56.444663166680371,6.4992307237087674
Tax Credit Finance,12.0,27.0,5.9000000000000004
Marv Films,69.742383096650727,77.942286340599509,7.5458597919653938
Jim Henson Pictures,62.999999999999993,59.000000000000014,6.2000000000000011
July Street Entertainment,66.999999999999972,66.999999999999972,3.5
Bell Broadcast and New Media Fund,36.0,57.000000000000007,6.5999999999999988
Soandbrad,74.000000000000028,54.000000000000007,6.4000000000000004
Filmax International,90.999999999999972,64.999999999999986,6.7000000000000011
Antena 3 Films,11.000000000000002,55.000000000000014,5.9000000000000004
Image Ten,95.999999999999986,88.000000000000028,7.9999999999999982
State Street Pictures,63.999999999999979,70.000000000000028,5.9000000000000004
Closest to the Hole Productions,90.999999999999972,88.999999999999986,7.9000000000000021
Enticing Entertainment,46.0,76.0,7.1000000000000005
New Song Pictures,33.0,82.000000000000014,7.2000000000000002
Atlas Entertainment,16.99994911436546,39.950180440187921,5.0502695962212005
Rogue Pictures,33.729225920535946,41.578267517039286,5.4484810550643292
Cookout Productions,4.9999999999999991,36.999999999999993,3.5
Lee Daniels Entertainment,85.000000000000014,66.999999999999972,7.1000000000000005
Red Bank Films,21.0,34.000000000000007,4.5
Caribou Pictures,79.999999999999972,72.999999999999986,6.7000000000000011
"Directors Company, The",98.000000000000043,90.0,7.9999999999999982
"Poker House, The",79.999999999999972,69.000000000000014,6.5999999999999988
Headquarters,79.999999999999972,52.000000000000007,6.4000000000000004
Paramount Classics,60.794736614282655,67.483331275211924,6.6932802122726045
Zanuck/Brown Productions,98.000000000000043,90.0,8.1000000000000014
Overnight Films,72.0,63.999999999999979,6.7000000000000011
Pathé Pictures,66.999999999999972,72.0,7.1000000000000005
A Lucky Old Sun Production,90.999999999999972,79.999999999999972,7.3000000000000007
Vendome Pictures,92.000000000000014,81.000000000000028,7.4999999999999991
Grindstone Entertainment Group,57.999999999999986,49.999999999999993,6.4000000000000004
Fade to Black Productions,85.000000000000014,81.000000000000028,7.5999999999999979
Am Psycho Productions,66.999999999999972,85.000000000000014,7.5999999999999979
Canal+,46.967138046410732,60.351892175741355,6.7389392352238415
Craven-Maddalena Films,49.999999999999993,57.999999999999986,6.4000000000000004
"Zanuck Company, The",81.000000000000028,82.000000000000014,7.4000000000000012
Lago Film,55.000000000000014,43.0,6.4000000000000004
Baltimore Spring Creek Productions,48.000000000000007,78.0,6.2999999999999989
Chicago Pacific Entertainment,15.999999999999998,27.0,5.5
Ariane Mararía Films,74.999999999999972,62.999999999999993,6.5999999999999988
New Line Cinema,37.022191012821125,56.527110065807491,6.1984934519832802
Exclusive Media Group,75.104447069200475,77.578152173040039,7.4314343360787829
"Bubble Factory, The",3.0000000000000004,36.999999999999993,4.2999999999999998
Pop Pop Productions,79.999999999999972,90.0,7.4999999999999991
Cheap and Dirty Productions Inc.,0.0,71.0,6.8000000000000007
Eikon Film,43.999999999999993,74.999999999999972,6.7000000000000011
Danjaq,58.085192209970337,55.74786471154674,6.5931590378715397
ErgoArts,74.000000000000028,78.0,7.2000000000000002
Gaumont,55.761528446322487,55.462437045214692,6.3468250397909509
Fine Line Features,66.999999999999972,69.000000000000014,6.4999999999999991
Award Entertainment,79.999999999999972,63.999999999999979,6.7000000000000011
Joseph E. Levine Productions,72.999999999999986,87.0,7.4000000000000012
Lost Soul Productions,4.0,27.0,3.7999999999999998
Fairway Films,62.999999999999993,83.000000000000028,7.4999999999999991
Haxan Films,87.0,55.000000000000014,6.4000000000000004
Woodfall Film Productions,77.000000000000014,51.0,6.0
Flying Heart Films,26.000000000000004,32.0,4.5999999999999996
Best Little Boy Productions,17.0,40.0,5.7000000000000011
Aldamisa Entertainment,44.999999999999993,59.999999999999986,7.1000000000000005
Ameena Sky Media,78.0,78.0,6.7000000000000011
OLC / Rights Entertainment,82.000000000000014,90.0,7.9000000000000021
Dharma Productions,69.282032302755098,74.672618810377898,6.884765791223403
Gramercy Pictures (I),75.728021376859061,68.733693102149445,7.0424092133090586
See-Saw Films,79.0,74.999999999999972,7.3000000000000007
Guys Upstairs,48.999999999999993,77.000000000000014,6.9999999999999991
Krisjair,24.000000000000004,65.999999999999972,5.9000000000000004
Thorn EMI Screen Entertainment,66.999999999999972,79.999999999999972,7.2000000000000002
Broken Lizard Industries,29.000000000000004,43.999999999999993,5.5999999999999996
Blue Sky Studios,36.999999999999993,62.999999999999993,6.7000000000000011
Falcon International Productions,79.999999999999972,94.0,8.3000000000000007
Mandalay Sports Entertainment,15.999999999999998,81.000000000000028,5.2000000000000002
River Road Entertainment,29.949958263743884,27.748873851023209,6.6992536897776898
CDI,37.999999999999993,68.000000000000014,6.2000000000000011
Sony Pictures Classics,69.94386107369202,72.577540649566004,7.1957524155731116
Spierigfilm,32.0,43.999999999999993,5.5999999999999996
Sidney Kimmel Entertainment,45.112096856447288,49.836450675037725,6.8834682539755008
Rickshaw Productions,36.0,40.0,5.2999999999999998
Bavaria Film,71.386273190298994,74.619032424710468,7.3756355658343109
Reliance Entertainment,4.9999999999999991,36.0,5.5999999999999996
Warp X,61.024585209569437,36.986484017813872,5.7236352085016744
Serendipity Point Films,55.470149137413507,58.505181700724563,6.5768177353197581
CineWild,3.0000000000000004,52.000000000000007,5.5999999999999996
Facilitator Films,55.000000000000014,82.000000000000014,6.0999999999999996
Cinépix Film Properties (CFP),78.0,88.000000000000028,7.4999999999999991
Silver Sphere Corporation,79.0,79.0,7.2000000000000002
October Films,64.093681435848282,48.083261120685243,6.0794736614282643
Leonard Freeman Production,92.000000000000014,72.999999999999986,6.9999999999999991
Likely Story,65.999999999999972,49.999999999999993,5.9000000000000004
LivePlanet,58.520094394786177,66.812724218630834,6.6988488406152085
Summit Entertainment,39.005548800604011,56.075542954277182,6.2399657281999836
Fox Atomic,19.606892862440905,38.501662071452778,5.5404173617763357
Picturehouse,31.84336665618132,50.159744815937827,5.729746940310716
Brillstein-Grey Entertainment,25.099800796022269,38.522720568516448,5.3962950252928161
Manchester Pictures,17.0,83.999999999999986,6.8000000000000007
Oscilloscope Laboratories,90.0,74.999999999999972,7.2000000000000002
USA Films,85.999999999999972,78.0,7.3000000000000007
Pixar Animation Studios,72.729115688411952,73.562380499768267,8.0847702992795654
Marvel Enterprises,48.836461788299133,49.477267507411931,6.1481704595757591
Stratus Film Co.,54.405882034941797,63.968742366877869,6.6483080554378642
View Askew Productions,66.999999999999972,85.000000000000014,7.4000000000000012
Cannon Films,22.449944320643649,26.532998322843195,4.4497190922573973
Dovemead Films,59.926019931091595,53.693739582072482,6.2706453281775687
Blue Lion Entertainment,95.999999999999986,90.999999999999972,7.9000000000000021
Electric Entertainment,33.0,66.999999999999972,6.5999999999999988
Every Tribe Entertainment,40.0,82.000000000000014,6.9000000000000004
Casual Friday Productions,88.000000000000028,57.000000000000007,6.0999999999999996
Outlaw Productions (I),23.0,63.999999999999979,2.8999999999999999
Pacific Western,40.792156108742283,43.89760813529594,6.1449165982948877
Mandalay Vision,21.0,24.000000000000004,5.2999999999999998
Alive Films,83.000000000000028,79.0,7.3000000000000007
Shapiro Entertainment,43.0,43.999999999999993,5.4000000000000004
Don Simpson/Jerry Bruckheimer Films,40.951190458886543,68.978257443922146,6.2801273872430325
IFC Films,81.000000000000028,85.000000000000014,7.4000000000000012
19 Entertainment,10.000000000000002,37.999999999999993,2.1000000000000001
Automatik Entertainment,16.582688683699402,53.227219568118215,5.2901680782023046
Tiny Ponies,78.0,55.000000000000014,6.2999999999999989
Kasdan Pictures,32.0,63.999999999999979,6.0
Entertainment Manufacturing Company,61.000000000000007,85.000000000000014,7.5999999999999979
Gary Sanchez Productions,26.381811916545843,34.770677301427419,4.6989360497882915
Cheerleader LLC,34.000000000000007,74.999999999999972,6.4999999999999991
Constantin Film International,31.0,51.0,5.2999999999999998
Trimark Pictures,57.271284253105428,62.928530890209103,7.1993055220625282
Touchstone Pictures,43.927374865267289,61.347929963021208,6.4692923817801278
CinemaNX,85.000000000000014,61.000000000000007,6.8000000000000007
Kuzui Enterprises,46.999999999999993,66.999999999999972,6.2000000000000011
Hopscotch Features,4.0,40.0,5.2000000000000002
Pathé,61.782100156292749,58.715183838053846,6.7939970089672421
Lucky Punch,36.0,65.999999999999972,6.5999999999999988
Mystery Clock Cinema,74.000000000000028,85.000000000000014,7.8000000000000016
Bedford Falls Productions,92.000000000000014,85.000000000000014,7.7000000000000002
Paragon Arts International,49.999999999999993,43.0,5.7000000000000011
DNA Films,77.532424846784394,75.046969192807836,7.2717970104494176
American Empirical Pictures,88.999999999999986,90.999999999999972,7.8000000000000016
Mutual Appreciation LLC,88.000000000000028,71.0,6.9000000000000004
Brownstone Productions (III),81.000000000000028,83.000000000000028,7.3000000000000007
Davis-Films,4.9999999999999991,36.0,4.9999999999999991
Future Films,79.0,72.0,7.1000000000000005
Last Holiday Productions,54.000000000000007,66.999999999999972,6.2999999999999989
Bona Fide Productions,70.334723411402663,73.664662376167826,6.8234484614210418
Poultry Productions LLC,62.000000000000007,65.999999999999972,6.2000000000000011
Mediaset España,81.000000000000028,85.000000000000014,7.5999999999999979
Leatherface Productions,18.999999999999996,42.000000000000007,4.7999999999999998
Blumhouse Productions,57.999999999999986,62.000000000000007,6.7000000000000011
Double Feature Films,17.0,51.0,4.0999999999999996
Norman Twain Productions,90.999999999999972,70.000000000000028,6.9000000000000004
57th & Irving Productions,34.999999999999993,22.000000000000004,5.4000000000000004
Minds Eye Entertainment,17.0,44.999999999999993,4.9999999999999991
Midwinter Productions Inc.,43.999999999999993,46.0,5.2999999999999998
