Movie Name,Release Date,Genre,Budget,Gross Revenue,Url
Youssou N'Dour: I Bring What I Love,"Jun 12, 2009",Documentary, ,"$172,225",/movie/Youssou-N-Dour-I-Bring-What-I-Love#tab=summary
Youssou N'Dour: Return to Goree,"Jul 18, 2008",, ,"$9,746",/movie/Youssou-N-Dour-Return-to-Goree#tab=summary
Youth in Revolt,"Jan 8, 2010",Comedy,"$18,000,000","$15,285,588",/movie/Youth-in-Revolt#tab=summary
Youth Without Youth,"Dec 14, 2007",Thriller/Suspense, ,"$239,495",/movie/Youth-Without-Youth#tab=summary
You've Got Mail,"Dec 18, 1998",Drama,"$65,000,000","$115,821,495",/movie/Youve-Got-Mail#tab=summary
Yu-Gi-Oh,"Aug 13, 2004",Adventure,"$20,000,000","$19,762,690",/movie/Yu-Gi-Oh#tab=summary
Yu Pu Tuan,"Dec 31, 2011",, ,$0,/movie/Yu-Pu-Tuan#tab=summary
Yuki Ni Negau Koto,"Jun 1, 2007",Drama, ,"$4,256",/movie/Yuki-Ni-Negau-Koto#tab=summary
Yume,"Aug 24, 1990",Drama, ,"$1,963,207",/movie/Yume#tab=summary
Yume to kyoki no ohkoku,"Dec 31, 2013",Documentary, ,$0,/movie/Yume-to-kyoki-no-ohkoku#tab=summary
Yut doi jung si ,"Dec 31, 2011",Action, ,$0,/movie/Yut-doi-jung-si#tab=summary
Yuva,"May 21, 2004",Drama, ,"$331,166",/movie/Yuva#tab=summary
Yuvraaj,"Nov 21, 2008",Musical, ,"$565,440",/movie/Yuvraaj#tab=summary
Yves Saint Laurent,"Jun 25, 2014",Drama, ,"$671,790",/movie/Yves-Saint-Laurent#tab=summary
Yves St. Laurent,"Jan 7, 2004",Documentary, ,"$97,092",/movie/Yves-St-Laurent#tab=summary
M,"Dec 31, 2007",, ,$0,/movie/M#tab=summary
M,"Mar 15, 2013",Drama, ,"$35,566",/movie/M-(1931)#tab=summary
M*A*S*H,"Jan 1, 1970",,"$3,500,000","$81,600,000",/movie/M-A-S-H#tab=summary
M. Butterfly,"Oct 1, 1993",, ,"$1,498,795",/movie/M-Butterfly#tab=summary
The M Word,"Dec 31, 2014",Romantic Comedy, ,$0,/movie/M-Word-The#tab=summary
Ma-dang-eul Na-on Am-talk,"Dec 31, 2011",Adventure, ,$0,/movie/Ma-dang-eul-Na-on-Am-talk#tab=summary
"Ma Fille, Mon Ange","Feb 13, 2007",Thriller/Suspense, ,"$2,779,545",/movie/Ma-Fille-Mon-Ange#tab=summary
Ma mère,"May 13, 2005",Drama, ,"$70,395",/movie/Ma-Mere#tab=summary
Ma part du gateau,"Dec 9, 2011",Drama, ,"$6,850",/movie/Ma-part-du-gateau#tab=summary
Ma saison préf&eacutelrée,"Apr 19, 1996",Drama, ,"$555,900",/movie/Ma-Saison-Preferee#tab=summary
Ma Tante Aline,"Jul 20, 2007",Comedy, ,"$1,027,636",/movie/Ma-Tante-Aline#tab=summary
Ma Vie en Rose,"Dec 26, 1997",Drama, ,"$2,280,573",/movie/Ma-Vie-en-Rose#tab=summary
Mac & Devin Go To High School,"Jul 3, 2012",Comedy, ,$0,/movie/Mac-and-Devin-Go-To-High-School#tab=summary
Mac and Me,"Aug 12, 1988",Adventure, ,"$6,000,000",/movie/Mac-and-Me#tab=summary
MacArthur,"Jun 30, 1977",, ,"$16,320,000",/movie/MacArthur#tab=summary
Macbeth,"Jun 15, 2007",Drama, ,"$9,613",/movie/Macbeth#tab=summary
Maccheroni,"Nov 1, 1985",Drama, ,"$235,383",/movie/Maccheroni#tab=summary
MacGruber,"May 21, 2010",Comedy,"$10,000,000","$8,525,600",/movie/MacGruber#tab=summary
Machete,"Sep 3, 2010",Action,"$12,500,000","$26,593,646",/movie/Machete#tab=summary
Machete Joe,"Dec 31, 2010",Horror, ,$0,/movie/Machete-Joe#tab=summary
