Movie Name,Release Date,Genre,Budget,Gross
Milk, 2008/11/26,Drama,20000000.0,31841299.0
Million Dollar Arm, 2014/5/10,Drama,25000000.0,36447959.0
Million Dollar Baby, 2004/12/15,Drama,30000000.0,100492203.0
A Million Ways to Die in The West, 2014/5/30,Comedy,40000000.0,42720965.0
Mindhunters, 2005/5/13,Thriller/Suspense,27000000.0,4476235.0
Mine Vaganti, 2010/12/31,Romantic Comedy,9100000.0,0.0
Minority Report, 2002/6/21,Action,102000000.0,132024714.0
Miracle at St. Anna, 2008/9/26,Drama,45000000.0,7916887.0
Miracle, 2004/2/6,Drama,28000000.0,64378093.0
The Mirror Has Two Faces, 1996/11/15,Romantic Comedy,42000000.0,41267469.0
Mirror Mirror, 2012/3/30,Adventure,85000000.0,64935167.0
MirrorMask, 2005/9/30,Drama,4000000.0,864959.0
Mirrors, 2008/8/15,Horror,35000000.0,30691439.0
Les Miserables, 2012/12/25,Musical,65000000.0,148809770.0
Miss Congeniality, 2000/12/22,Comedy,45000000.0,106807667.0
Miss Congeniality 2: Armed and Fabulous, 2005/3/24,Comedy,60000000.0,48478006.0
Miss March, 2009/3/13,Comedy,6000000.0,4543320.0
Miss Potter, 2006/12/29,Drama,30000000.0,3005605.0
The Missing, 2003/11/26,Western,65000000.0,26900336.0
Mission: Impossible, 1996/5/21,Action,80000000.0,180981886.0
Mission: Impossible 2, 2000/5/24,Action,120000000.0,215409889.0
Mission: Impossible III, 2006/5/5,Action,150000000.0,133501348.0
Mission: Impossible - Ghost Protocol, 2011/12/16,Action,145000000.0,209397903.0
Mission to Mars, 2000/3/10,Adventure,90000000.0,60874615.0
The Mist, 2007/11/21,Horror,13000000.0,25593755.0
Mo' Better Blues, 1990/8/3,Drama,10000000.0,16153000.0
Moby Dick, 1956/1/1,Adventure,4500000.0,10400000.0
Modern Problems, 1981/12/25,Comedy,8000000.0,24474312.0
Modern Times, 1936/2/5,Comedy,1500000.0,163245.0
Molière, 2007/7/27,Comedy,21600000.0,635733.0
The Molly Maguires, 1970/1/1,Drama,11000000.0,2200000.0
La Môme, 2007/6/8,Drama,15500000.0,10299782.0
Mommie Dearest, 1981/9/18,Drama,5000000.0,19032000.0
Mona Lisa Smile, 2003/12/19,Drama,65000000.0,63803100.0
Money Talks, 1997/8/22,Action,25000000.0,41076865.0
Money Train, 1995/11/22,Action,68000000.0,35324232.0
Moneyball, 2011/9/23,Drama,50000000.0,75605492.0
The Mongol King, 2004/1/1,Drama,7000.0,900.0
Monkeybone, 2001/2/23,Comedy,75000000.0,5409517.0
Mononoke-hime, 1999/10/29,Adventure,20000000.0,2374107.0
Monsoon Wedding, 2002/2/22,Comedy,1200000.0,13876974.0
Monster, 2003/12/24,Drama,5000000.0,34469210.0
Monster House, 2006/7/21,Adventure,75000000.0,73661010.0
Monster-in-Law, 2005/5/13,Comedy,45000000.0,82931301.0
Monsters, 2010/10/29,Drama,500000.0,237301.0
Monster's Ball, 2001/12/26,Drama,4000000.0,31273922.0
"Monsters, Inc.", 2001/11/2,Adventure,115000000.0,289423425.0
Monsters University, 2013/6/21,Adventure,200000000.0,268488329.0
Monsters vs. Aliens, 2009/3/27,Adventure,175000000.0,198351526.0
Monte Carlo, 2011/7/1,Romantic Comedy,20000000.0,23186769.0
Monty Python and the Holy Grail, 1975/5/10,Comedy,400000.0,3427696.0
The Monuments Men, 2014/2/7,Drama,70000000.0,78031620.0
Moon, 2009/6/12,Thriller/Suspense,5000000.0,5010163.0
Moonlight Mile, 2002/9/27,Drama,21000000.0,6830957.0
Moonraker, 1979/6/29,Action,31000000.0,70300000.0
Moonrise Kingdom, 2012/5/25,Drama,16000000.0,45512466.0
MOOZ-lum, 2011/2/11,Drama,1549141.0,362239.0
Morning Glory, 2010/11/10,Comedy,40000000.0,31011732.0
The Mortal Instruments: City of Bones, 2013/8/21,Adventure,60000000.0,31165421.0
Mortal Kombat, 1995/8/18,Action,20000000.0,70433227.0
Mortal Kombat: Annihilation, 1997/11/21,Action,30000000.0,35927406.0
Motherhood, 2009/10/23,Comedy,10000000.0,93388.0
The Mothman Prophecies, 2002/1/25,Thriller/Suspense,42000000.0,35228696.0
Moulin Rouge, 2001/5/18,Musical,53000000.0,57386369.0
Mouse Hunt, 1997/12/19,Comedy,38000000.0,61894591.0
Movie 43, 2013/1/25,Comedy,10000000.0,8840453.0
Mr. 3000, 2004/9/17,Comedy,30000000.0,21800302.0
Mr. And Mrs. Smith, 2005/6/10,Action,110000000.0,186336279.0
Mr. Bean's Holiday, 2007/8/24,Comedy,25000000.0,33302167.0
Mr. Deeds, 2002/6/28,Comedy,50000000.0,126293452.0
Mr. Nice Guy, 1998/3/20,Action,6000000.0,12716953.0
Mr. Peabody & Sherman, 2014/3/7,Adventure,145000000.0,111506430.0
Mr. Poppers's Penguins, 2011/6/17,Adventure,55000000.0,68224452.0
Mr. Smith Goes To Washington, 1939/1/1,Drama,1500000.0,9000000.0
Mrs. Doubtfire, 1993/11/24,Comedy,25000000.0,219195051.0
Mrs. Henderson Presents, 2005/12/9,Comedy,20000000.0,11036366.0
